local_result,upstream_source_family,formal_object_numbers,matrix_source_ids,local_use
K1 fixed-domain kernel,Non-Degenerate Construction and the Kernel of Admissibility,Lemma 2.22; Proposition 2.23; Theorem 2.29; Corollary 2.30,ERK20260527-New_erk_files_May_35B594-LEM-007; ERK20260527-New_erk_files_May_35B594-PRO-002; ERK20260527-New_erk_files_May_35B594-THM-004; ERK20260527-New_erk_files_May_35B594-COR-002,reference/standing/admissibility/irreversibility necessity
K2 reference fixation,Non-Degenerate Construction and the Kernel of Admissibility,Lemma 3.3; Proposition 2.23,ERK20260527-New_erk_files_May_35B594-LEM-012; ERK20260527-New_erk_files_May_35B594-PRO-002,same manifold carrier under homeomorphism
K3 standing-readout separation,Non-Degenerate Construction; Claim Standing and Legitimacy,Theorem 6.4; Definitions 3.1-3.3,ERK20260527-New_erk_files_May_35B594-THM-020; ERK20260527-New_erk_files_May_AF0C6B-DEF-002; ERK20260527-New_erk_files_May_AF0C6B-DEF-003; ERK20260527-New_erk_files_May_AF0C6B-DEF-004,separate standing from readout
K4 bivalence,Non-Degenerate Construction; Structure of Admissibility,Theorem 6.2; Theorem 6.15,ERK20260527-New_erk_files_May_35B594-THM-018; ERK20260527-New_erk_files_May_ACEB9B-THM-021,no third endpoint truth state
K5 unique admissible interior,Structure of Admissibility,Theorem 7.15; Corollary 7.16,ERK20260527-New_erk_files_May_ACEB9B-THM-026; ERK20260527-New_erk_files_May_ACEB9B-COR-009,no plural endpoint interiors
K6 standing-admissibility identity,Non-Degenerate Construction; Standing-Admissibility Identity Closure,Theorem 6.4; Theorem 4.2; Corollary 4.3; Theorem 8.1; Corollaries 8.4-8.5,ERK20260527-New_erk_files_May_35B594-THM-020; ERK20260527-New_erk_files_May_534018-THM-002; ERK20260527-New_erk_files_May_534018-COR-002; ERK20260527-New_erk_files_May_534018-THM-009; ERK20260527-New_erk_files_May_534018-COR-006; ERK20260527-New_erk_files_May_534018-COR-007,standing must be admissibility-grounded
K7 no generators,Non-Degenerate Construction; Structure of Admissibility; Bivalence Theorem,Corollary 10.2; Theorem 7.8; Corollary 3.7,ERK20260527-New_erk_files_May_35B594-COR-011; ERK20260527-New_erk_files_May_ACEB9B-THM-024; ERK20260527-New_erk_files_May_8B37FD-COR-003,classifier cannot generate own output standing
K8 no carriers,Bivalence Theorem; AMetric Boundary,Corollary 3.8; Theorem 6.17,ERK20260527-New_erk_files_May_8B37FD-COR-004; ERK20260527-New_erk_files_May_41605D-THM-029,surrogate data cannot carry endpoint standing
K9 no repairs,AMetric Boundary; Standing-Admissibility Identity Closure,Theorem 6.13; Corollary 7.10; Theorem 6.3,ERK20260527-New_erk_files_May_41605D-THM-027; ERK20260527-New_erk_files_May_41605D-COR-007; ERK20260527-New_erk_files_May_534018-THM-005,failed residue cannot be repaired as same report
K10 AMetric boundary,AMetric Boundary; Structure of Admissibility,"Corollary 4.36; Theorem 4.39; Theorems 4.18, 4.21",ERK20260527-New_erk_files_May_41605D-COR-003; ERK20260527-New_erk_files_May_41605D-THM-016; ERK20260527-New_erk_files_May_ACEB9B-THM-008; ERK20260527-New_erk_files_May_ACEB9B-THM-009,no selector or preferred presentation
K11 UEAP report preservation,Claim Standing and Legitimacy,Principle 4.6; Theorem 7.2; Definition 12.2,ERK20260527-New_erk_files_May_AF0C6B-PRI-001; ERK20260527-New_erk_files_May_AF0C6B-THM-004; ERK20260527-New_erk_files_May_AF0C6B-DEF-027,reports cannot exceed support
K12 ATS layer discipline,"Anchor, Tensor, and Skin; Forty-Two Exhaustion",Theorem 3; Theorem 9; Corollary 5.25,ERK20260527-New_erk_files_May_6DC183-THM-004; ERK20260527-New_erk_files_May_6DC183-THM-025; ERK20260527-New_erk_files_May_3D011A-COR-017,skin/meta-status not proof-bearing
K13 fixed-domain endpoint exhaustion,"Combined K4-K6,K9,K11,K12; Closure by Exhaustion; Fixed-Base Constraints","Corollary 3.12; Corollary 4.8 plus K4-K6,K9,K11,K12",ERK20260527-New_erk_files_May_553AA0-COR-003; ERK20260527-New_erk_files_May_5A27D3-COR-002,endpoint branches are SphereRead or supported residue only
