locus,route type,proof role,disposition
L1,carrier identity,endpoint route changes M or lawful redescription,carrier drift collapse
L2,fundamental group,endpoint route uses nontrivial loop obstruction,blocked by pi1(M)=0
L3,homology/cohomology,algebraic surrogate used as endpoint readout,support only unless bridged; endpoint use routes to governance
L4,local-to-global assembly,local data promoted to global non-sphere status,global obstruction routes elsewhere
L5,decomposition/prime structure,splitting gluing prime or piece structure used negatively,routes to carrier group homology local/global or governance
L6,boundary/end/compactness,boundary puncture end or noncompact escape,violates closed carrier or resets scope
L7,category/smooth/PL/topological structure,category mismatch used as endpoint obstruction,dimension-three category discipline blocks independent route
L8,geometric or analytic auxiliary carrier,metric Ricci-flow curvature or analytic data used as endpoint readout,no carrier transfer without bridge
L9,modification/repair history,surgery collapse flow stage or reinterpretation used after the fact,no post-selection repair or carrier drift
L10,representative selection,preferred triangulation handlebody metric or presentation decides endpoint,AMetric no-selector boundary
L11,endpoint classifier or negative-status governance,rule beside bridge governs sphere endpoint,no independent same-domain discriminator
