number,node,function
1,PCEndpointUnderAudit,Fixes official universal target without assuming conclusion
2,Universal endpoint binds pointwise use,Places arbitrary M under pointwise endpoint audit
3,Endpoint adequacy,States target determinacy step evaluability act-time finality same-regime fidelity
4,Endpoint adequacy forces K_PC,Derives kernel roles from theorem-bearing endpoint use
5,K1-K13,Local fixed-carrier constraints
5a,Weakening-resistance,Audits K5 K6 K11 K13 against strict same-carrier weakenings that would permit independent negative governance
5b,Plural routes versus plural interiors,Permits ordinary mathematical plurality while excluding plural endpoint-governing interiors for one endpoint slot
6,Carrier adequacy,Verifies standard Poincare data instantiate C_PC(M)
7,PCNeg,Defines native counterexample branch
8,PCNeg iff StdPCNeg,Expands native branch in ordinary topological terms
9,StdPCNeg iff SphereBridgeImgExcl,Identifies native branch with bridge-image exclusion
9a,Sphere-bridge object B^PC(M),Fixes same-manifold carrier standing readout category UEAP and ATS discipline without containing sphere-readout
9b,Bridge-complete sphere object,Records that completed bridge occupation yields SphereRead(M)
10,Endpoint-used bridge exclusion,Produces theorem-level sphere-status discrimination
11,ATS/UEAP classification,Separates support tensor endpoint work carrier shift bookkeeping hidden fifth
12,No hidden fifth,Blocks endpoint-resolving non-governance
13,Official negative resolution,Classifies endpoint-bearing PCNeg as negative endpoint resolution in the global audit route
14,Endpoint governance,Classifies official negative resolution as endpoint-status governance
15,Independent discriminator,Routes endpoint governance to independent sphere discrimination
16,No independent discriminator,Excludes second same-domain endpoint authority
17,PCNeg excluded,Proves native negative branch impossible under official endpoint use
17a,Local exact-complement annotation,Records not SphereRead(M) as proof-role metadata rather than an added premise
17b,Local reductio closeout,Routes local non-spherehood through local bridge-image exclusion and no-independent closure to discharge the assumption
18,AASC Poincare closure,Concludes M homeomorphic to S3 through local annotation discharge
19,Route-locus exhaustion,Classifies endpoint-resolving negative routes
20,Ricci bridge audit,Comparison-only classification of traditional route
